Count,Lityear,Year,Season,Site,Stand,Plot,Treatment,N,P,Ca,Basket,Total_Mass,Leaf_Mass,Basket_Type,Basket_Area,Total_Mass_g_m2,Sorted,ACPE,ACRU,ACSA3,ACSP2,BE_sp,BEAL2,BEPA,BEPO,FAGR,FRAM2,PIRU,PO_sp,POGR4,POTR5,PRPE2,PRSE2,QURU,SOAM3,TIAM,TSCA,VILA11,Unknown,Seeds,Nonleaf,OTHER_Spring,Other,Twigs <16mm,Twigs 16-30mm,Problematic,Comments
,2005,2005,Fall,,C3,3,,,,,LF1,71.20,71.20,1,0.23,309.57,Y,4.7,8,6,,,3.9,3,,33.4,,,,,,5.3,,,,,,,,,,,6.9,2.8,,,
,2005,2005,Fall,,C3,3,,,,,LF2,47.40,47.40,1,0.23,206.09,Y,5.8,4.2,11,,,,,,20.4,,,,,,1.6,,,,,,,,,,,4.4,1.5,,,
,2005,2005,Fall,,C3,3,,,,,LF3,58.80,58.80,1,0.23,255.65,Y,4.9,10.9,0.4,,,2.6,4.9,,24.1,,,,,,3.2,,,,,,,,,,,7.8,34.6,,,
,2005,2005,Fall,,C3,3,,,,,LF4,60.20,60.20,1,0.23,261.74,Y,1.2,18.6,1.4,,,2.4,3.9,,24.1,,,,,,2.8,,,,,,,,,,,5.8,3.2,,,
,2005,2005,Fall,,C3,3,,,,,LF5,52.00,52.00,1,0.23,226.09,Y,6.8,5,0.2,,,4.9,2.6,,21.1,,,,,,1.5,,,,,,,,,,,9.9,2.8,,,
,2005,2005,Fall,,C4,1,,,,,LF1,70.96,70.96,1,0.23,308.52,Y,3.5,9.76,,,,,,,13.8,,,,37.7,,,,,,,,,,,,,6.2,13.4,,,
,2005,2005,Fall,,C4,1,,,,,LF2,74.70,74.70,1,0.23,324.78,Y,,14.3,,,,2.2,20.5,,15.6,,,,16,,2.7,,,,,,,,,,,3.4,5.5,,,
,2005,2005,Fall,,C4,1,,,,,LF3,74.80,74.80,1,0.23,325.22,Y,,8.3,1.4,,,5.5,26.8,,10.7,-0.9,,,9.6,,4.7,,,,,,,,,,,8.7,2,,,
,2005,2005,Fall,,C4,1,,,,,LF4,63.70,63.70,1,0.23,276.96,Y,,5.3,,,,10,,,18.3,,,,17.1,,,,,,,,,,,,,13,10,,,
,2005,2005,Fall,,C4,1,,,,,LF5,68.00,68.00,1,0.23,295.65,Y,,5.4,,,,2.4,31.4,,16.4,,,,2.5,,1.6,,1.1,,,,,,,,,7.2,2.9,,,
,2005,2005,Fall,,C4,2,,,,,LF1,53.40,53.40,1,0.23,232.17,Y,,1.7,,,,4.6,4.8,,14,,,,22.3,,,,1.1,,,,,,,,,4.9,2.9,,,
,2005,2005,Fall,,C4,2,,,,,LF2,60.10,60.10,1,0.23,261.30,Y,,0.3,,,,9.8,19.2,,12,,,,14.5,,1.4,,,,,,,,,,,2.9,1.7,,,
,2005,2005,Fall,,C4,2,,,,,LF3,37.80,37.80,1,0.23,164.35,Y,,7.4,,,,1.8,1.5,,14.3,,,,19.5,,,,,,,,,,,,,-6.7,39,24.8,,
,2005,2005,Fall,,C4,2,,,,,LF4,57.40,57.40,1,0.23,249.57,Y,,1,,,,6.9,21.6,,11.2,0.7,,,12.3,,,,,,,,,,,,,3.7,36,66.8,,
,2005,2005,Fall,,C4,2,,,,,LF5,55.80,55.80,1,0.23,242.61,Y,0.7,1.2,0.6,,,,5.8,,15.4,0.3,,,29.4,,,,0.7,,,,,,,,,1.7,8.9,,,
,2005,2005,Fall,,C4,3,,,,,LF1,58.80,58.80,1,0.23,255.65,Y,,3.1,0.3,,,8.8,25.1,,11.5,2.7,,,,,1.3,,,,,,,,,,,6,4.2,,,
,2005,2005,Fall,,C4,3,,,,,LF2,N/A,#VALUE!,1,0.23,#VALUE!,Y,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,,,,basket molested
,2005,2005,Fall,,C4,3,,,,,LF3,65.00,65.00,1,0.23,282.61,Y,,6.2,0.5,,,10.9,26.4,,10,3.7,,,,2.5,2,,1.2,,,,,,,,,1.6,0.8,,,
,2005,2005,Fall,,C4,3,,,,,LF4,62.00,62.00,1,0.23,269.57,Y,,11.2,0.5,,,2.7,23.4,,12.3,2.2,,,0.5,,,,0.7,,,,,,,,,8.5,1.9,,,
,2005,2005,Fall,,C4,3,,,,,LF5,N/A,#VALUE!,1,0.23,#VALUE!,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,basket overturned
,2005,2005,Fall,,C5,1,,,,,LF1,63.70,63.70,1,0.23,276.96,Y,1,9.4,,,,5,30.2,,13.6,,,,,,1.9,,,,,,,,,,,2.6,1,,,
,2005,2005,Fall,,C5,1,,,,,LF2,44.10,44.10,1,0.23,191.74,Y,,3.8,0.5,,,4.4,26.7,,5.7,0.6,,,,,1,,0.9,,,,,,,,,0.5,4.6,,,
,2005,2005,Fall,,C5,1,,,,,LF3,61.10,61.10,1,0.23,265.65,Y,7.3,2,1.3,,,4.4,26.5,,17.2,,,,,,1.4,,,,,,,,,,,1,29,,,
,2005,2005,Fall,,C5,1,,,,,LF4,60.70,60.70,1,0.23,263.91,Y,1.1,0.9,1.7,,,4.1,35.4,,13.1,,,,,,0.7,,,,,,,,,,,3.7,7.9,,,
,2005,2005,Fall,,C5,1,,,,,LF5,45.00,45.00,1,0.23,195.65,Y,1.4,3.9,0,,,2.3,23.3,,11.3,,,,,,0.9,,,,,,,,,,,1.9,3.5,,,
,2005,2005,Fall,,C5,2,,,,,LF1,71.20,71.20,1,0.23,309.57,Y,4.3,5.1,10.2,,,3.6,22.7,,20.6,,,,,,0.6,,,,,,,,,,,4.1,3.8,,,
,2005,2005,Fall,,C5,2,,,,,LF2,70.70,70.70,1,0.23,307.39,Y,1.3,9.6,0.8,,,3.8,31.9,,20.6,,,,,,0.6,,1,,,,,,,,,1.1,3.2,,,
,2005,2005,Fall,,C5,2,,,,,LF3,43.00,43.00,1,0.23,186.96,Y,5.4,,2.9,,,6.2,6.8,,8.2,,,,,,0.7,,8.5,,,,,,,,,4.3,0.6,,,
,2005,2005,Fall,,C5,2,,,,,LF4,67.50,67.50,1,0.23,293.48,Y,0.5,2.4,1.9,,,2.6,40.5,,7.5,,,,,,0.4,,,,,,,,,,,11.7,3.7,,,
,2005,2005,Fall,,C5,2,,,,,LF5,45.20,45.20,1,0.23,196.52,Y,,2.6,2.3,,,9.5,13.5,,13.7,,,,,,,,,,,,,,,,,3.6,2.5,,,
,2005,2005,Fall,,C5,3,,,,,LF1,49.90,49.90,1,0.23,216.96,Y,3.5,,3,,,9.1,16,,10.9,,,,,,,,0.9,,,,,,,,,6.5,64.1,,,
,2005,2005,Fall,,C5,3,,,,,LF2,55.00,55.00,1,0.23,239.13,Y,1.2,1.9,1.7,,,3.4,33.2,,9.2,,,,,,0.6,,,,,,,,,,,3.8,13.7,,,
,2005,2005,Fall,,C5,3,,,,,LF3,66.20,66.20,1,0.23,287.83,Y,3.6,1.8,7.4,,,3,39.1,,9,,,,,,0.5,,,,,,,,,,,1.8,5.2,,,
,2005,2005,Fall,,C5,3,,,,,LF4,62.40,62.40,1,0.23,271.30,Y,4.6,1.1,0.8,,,6.3,32.2,,12.5,,,,,,0.8,,,,,,,,,,,4.1,27.1,,,
,2005,2005,Fall,,C5,3,,,,,LF5,44.50,44.50,1,0.23,193.48,Y,1.1,2.2,1,,,5.4,19.2,,14,,,,,,0.6,,,,,,,,,,,1,1.8,,,
,2005,2005,Fall,,C6,1,,,,,LF1,61.70,61.70,1,0.23,268.26,Y,1.6,5.5,2.2,,,10.4,17.4,,17.8,,,,,,0.5,,,,,,,,,,,6.3,1.3,40,,
,2005,2005,Fall,,C6,1,,,,,LF2,70.40,70.40,1,0.23,306.09,Y,,10.7,,,,14.4,23.9,,12.8,,,,,,1,,,,,,,,,,,7.6,1.9,,,
,2005,2005,Fall,,C6,1,,,,,LF3,67.80,67.80,1,0.23,294.78,Y,,7.1,0.8,,,6.9,34.7,,13.1,,,,,,1.9,,,,,,,,,,,3.3,3.1,,,
,2005,2005,Fall,,C6,1,,,,,LF4,58.40,58.40,1,0.23,253.91,Y,1.3,29.6,0.7,,,1.8,6.8,,13.9,,,,,,2.1,,,,,,,,,,,2.2,3,,,
,2005,2005,Fall,,C6,1,,,,,LF5,56.10,56.10,1,0.23,243.91,Y,,18.5,7.7,,,5.7,6.6,,12.9,1.8,,,,,,,,,,,,,,,,2.9,1,,,
,2005,2005,Fall,,C6,2,,,,,LF1,68.50,68.50,1,0.23,297.83,Y,,13.3,3.2,,,17,14.1,,12.7,2.6,,,,,,,,,,,,,,,,5.6,24.5,38.4,,
,2005,2005,Fall,,C6,2,,,,,LF2,60.40,60.40,1,0.23,262.61,Y,2.3,11.1,6.8,,,7.2,18.9,,10.2,,,,,,1,,,,,,,,,,,2.9,0.8,,,
,2005,2005,Fall,,C6,2,,,,,LF3,55.60,55.60,1,0.23,241.74,Y,,4.8,4.4,,,6.3,17,,16.8,0.4,,,,,0.6,,1.5,,,,,,,,,3.8,5.2,,,
,2005,2005,Fall,,C6,2,,,,,LF4,59.70,59.70,1,0.23,259.57,Y,0.9,18,2.4,,,16.4,9.7,,9.3,,,,,,0.3,,,,,,,,,,,2.7,2.6,,,
,2005,2005,Fall,,C6,2,,,,,LF5,76.70,76.70,1,0.23,333.48,Y,,7.7,15.1,,,12.8,23.7,,13.9,,,,,,1.2,,,,,,,,,,,2.3,2.3,,,
,2005,2005,Fall,,C6,3,,,,,LF1,58.90,58.90,1,0.23,256.09,Y,3,18.2,0.8,,,6.9,11.8,,10.7,,,,3.4,,1.7,,,,,,,,,,,2.4,6.8,,,
,2005,2005,Fall,,C6,3,,,,,LF2,46.80,46.80,1,0.23,203.48,Y,0.8,6,1.2,,,5.7,8.8,,20.2,,,,,,0.7,,,,,,,,,,,3.4,0.5,,,
,2005,2005,Fall,,C6,3,,,,,LF3,64.30,64.30,1,0.23,279.57,Y,,10.3,0.7,,,9.1,20.7,,14,,,,,,2.1,,,,,,,,,,,7.4,1.8,,,
,2005,2005,Fall,,C6,3,,,,,LF4,53.50,53.50,1,0.23,232.61,Y,,22,,,,11.1,3.7,,11.3,,,,0.4,,0.9,,,,,,,,,,,4.1,0.6,,,
,2005,2005,Fall,,C6,3,,,,,LF5,60.00,60.00,1,0.23,260.87,Y,,10.8,1.6,,,3.1,18.6,,20,,,,,,3,,,,,,,,,,,2.9,3.5,,,
,2005,2005,Fall,,C7,1,,,,,LF1,68.70,68.70,1,0.23,298.70,Y,,,33.4,,,2.3,,,23.5,7.2,,,,,,,,,,,,,,,,2.3,1,,,
,2005,2005,Fall,,C7,1,,,,,LF2,65.40,65.40,1,0.23,284.35,Y,,,26.2,,,3.6,0.6,,31.9,0.8,,,,,,,,,,,,,,,,2.3,16,,,
,2005,2005,Fall,,C7,1,,,,,LF3,66.50,66.50,1,0.23,289.13,Y,,1.6,10.3,,,8.9,2.6,,38.9,0.9,,,,,,,,,,,,,,,,3.3,2.3,,,
,2005,2005,Fall,,C7,1,,,,,LF4,57.90,57.90,1,0.23,251.74,Y,,,14.8,,,1.8,,,37.4,,,,,,,,,,,,,,,,,3.9,11.8,,,
,2005,2005,Fall,,C7,1,,,,,LF5,64.90,64.90,1,0.23,282.17,Y,,,13.3,,,0.7,5.7,,31.9,9.3,,,,,,,,,,,,,,,,4,,,,
,2005,2005,Fall,,C7,2,,,,,LF1,60.40,60.40,1,0.23,262.61,Y,1.2,,10.5,,,1.5,2,,42.3,1.1,,,,,,,,,,,,,,,,1.8,,,,
,2005,2005,Fall,,C7,2,,,,,LF2,64.50,64.50,1,0.23,280.43,Y,1.7,,19.7,,,,,,29.1,11.5,,,,,,,,,,,,,,,,2.5,1.4,,,
,2005,2005,Fall,,C7,2,,,,,LF3,50.90,50.90,1,0.23,221.30,Y,,,9.8,,,0.6,,,35.6,2.7,,,,,,,,,,,,,,,,2.2,0.9,,,
,2005,2005,Fall,,C7,2,,,,,LF4,61.10,61.10,1,0.23,265.65,Y,2.2,,7.3,,,0.5,,,39,9.6,,,,,,,1.3,,,,,,,,,1.2,3.9,,,
,2005,2005,Fall,,C7,2,,,,,LF5,57.10,57.10,1,0.23,248.26,Y,,,11.5,,,0.7,2.5,,34.1,5.8,,,,,,,,,,,,,,,,2.5,1.5,,,
,2005,2005,Fall,,C7,3,,,,,LF1,63.40,63.40,1,0.23,275.65,Y,,,18.7,,,2.9,6.4,,34.2,,,,,,,,,,,,,,,,,1.2,1,,,
,2005,2005,Fall,,C7,3,,,,,LF2,57.10,57.10,1,0.23,248.26,Y,,0.9,9.8,,,2.5,1,,41,,,,,,,,,,,,,,,,,1.9,6.4,,,
,2005,2005,Fall,,C7,3,,,,,LF3,57.80,57.80,1,0.23,251.30,Y,,,16.8,,,5.7,,,33.5,,,,,,,,,,,,,,,,,1.8,7.1,,,
,2005,2005,Fall,,C7,3,,,,,LF4,58.50,58.50,1,0.23,254.35,Y,,0.9,22.9,,,2.2,1.9,,29.8,,,,,,,,,,,,,,,,,0.8,1,,,
,2005,2005,Fall,,C7,3,,,,,LF5,52.20,52.20,1,0.23,226.96,Y,,,5.3,,,9.1,,,36.7,,,,,,,,,,,,,,,,,1.1,1.3,,,
,2005,2005,Fall,,C8,1,,,,,LF1,53.00,53.00,1,0.23,230.43,Y,,,12.5,,,0.9,,,25.3,11.1,,,,,,,,,1.3,,,,,,,1.9,3.5,,,
,2005,2005,Fall,,C8,1,,,,,LF2,60.60,60.60,1,0.23,263.48,Y,,,41.2,,,0.7,,,4.5,9.4,,,,,,,,,,,,,,,,4.8,4.6,,,
,2005,2005,Fall,,C8,1,,,,,LF3,88.00,88.00,1,0.23,382.61,Y,,9.4,14.2,,,17.2,,,41.1,4.7,,,,,,,,,0.9,,,,,,,0.5,4.3,,,
,2005,2005,Fall,,C8,1,,,,,LF4,48.70,48.70,1,0.23,211.74,Y,,,15.1,,,1.1,,,20.2,7.3,,,,,,,,,0.7,,,,,,,4.3,0.7,,,
,2005,2005,Fall,,C8,1,,,,,LF5,60.70,60.70,1,0.23,263.91,Y,,,25.7,,,1.9,,,31.2,,,,,,,,,,,,,,,,,1.9,5.2,,,
,2005,2005,Fall,,C8,2,,,,,LF1,69.00,69.00,1,0.23,300.00,Y,,,29.1,,,1.4,,,23.3,8.8,,,,,,,,,4.2,,,,,,,2.2,,,,
,2005,2005,Fall,,C8,2,,,,,LF2,80.40,80.40,1,0.23,349.57,Y,,,34.8,,,3,,,22.8,10.4,,,,,,,,,5.5,,,,,,,3.9,1.8,,,
,2005,2005,Fall,,C8,2,,,,,LF3,47.30,47.30,1,0.23,205.65,Y,,,8.2,,,2.3,,,27,6.7,,,,,,,,,0.7,,,,,,,2.4,11,,,
,2005,2005,Fall,,C8,2,,,,,LF4,69.20,69.20,1,0.23,300.87,Y,,,37.7,,,0.5,,,21.1,2.2,,,,,,,,,1.5,,,,,,,6.2,21.2,110.8,,
,2005,2005,Fall,,C8,2,,,,,LF5,60.90,60.90,1,0.23,264.78,Y,,,13,,,13.6,,,31.7,,,,,,,,,,,,,,,,,2.6,5,,,
,2005,2005,Fall,,C8,3,,,,,LF1,38.80,38.80,1,0.23,168.70,Y,,2.4,3.4,,,3.2,,,20,7.1,,,,,,,,,,,,,,,,2.7,3.9,,,
,2005,2005,Fall,,C8,3,,,,,LF2,59.50,59.50,1,0.23,258.70,Y,,,24.6,,,6.6,,,22.5,4.1,,,,,,,,,,,,,,,,1.7,1.9,,,
,2005,2005,Fall,,C8,3,,,,,LF3,65.60,65.60,1,0.23,285.22,Y,,4.9,9.8,,,24.7,,,20.7,4.7,,,,,,,,,,,,,,,,0.8,3.4,,,
,2005,2005,Fall,,C8,3,,,,,LF4,63.50,63.50,1,0.23,276.09,Y,,5.1,25.4,,,5.6,,,21.1,2.3,,,,,,,,,,,,,,,,4,8.9,25,,
,2005,2005,Fall,,C8,3,,,,,LF5,63.70,63.70,1,0.23,276.96,Y,,0.6,34.6,,,7.1,,,18.8,1,,,,,,,,,,,,,,,,1.6,7.3,,,
,2005,2005,Fall,,C9,1,,,,,LF1,74.90,74.90,1,0.23,325.65,Y,,,14.3,,,36.4,,,22.5,,,,,,,,,,,,,,,,,1.7,0.5,,,
,2005,2005,Fall,,C9,1,,,,,LF2,60.20,60.20,1,0.23,261.74,Y,,,26.4,,,10.1,,,20.8,,,,,,,,,,,,,,,,,2.9,2.1,,,
,2005,2005,Fall,,C9,1,,,,,LF3,64.70,64.70,1,0.23,281.30,Y,,,37.3,,,9.2,,,17.3,,,,,,,,,,,,,,,,,0.9,4.8,,,
,2005,2005,Fall,,C9,1,,,,,LF4,60.50,60.50,1,0.23,263.04,Y,,,30.2,,,13,,,15.8,,,,,,,,,,,,,,,,,1.5,1.7,,,
,2005,2005,Fall,,C9,1,,,,,LF5,48.70,48.70,1,0.23,211.74,Y,,,19.2,,,7.7,,,18.6,,,,,,,,,,,,,,,,,3.2,10.3,77.1,,
,2005,2005,Fall,,C9,2,,,,,LF1,53.20,53.20,1,0.23,231.30,Y,,,22.7,,,10.8,,,18.5,,,,,,,,,,,,,,,,,1.2,2.3,,,
,2005,2005,Fall,,C9,2,,,,,LF2,66.90,66.90,1,0.23,290.87,Y,,,28,,,14.7,,,22.4,,,,,,,,,,,,,,,,,1.8,1.1,,,
,2005,2005,Fall,,C9,2,,,,,LF3,72.80,72.80,1,0.23,316.52,Y,,,47.1,,,2.3,,,21.8,,,,,,,,,,,,,,,,,1.6,0.3,,,
,2005,2005,Fall,,C9,2,,,,,LF4,59.00,59.00,1,0.23,256.52,Y,,,34.7,,,7.5,,,15,,,,,,,,,,,,,,,,,1.8,0.9,,,
,2005,2005,Fall,,C9,2,,,,,LF5,56.00,56.00,1,0.23,243.48,Y,,,36.7,,,3.9,,,13.4,,,,,,,,,,,,,,,,,2,,,,
,2005,2005,Fall,,C9,3,,,,,LF1,51.80,51.80,1,0.23,225.22,Y,,,24.9,,,3.2,,,21,1.2,,,,,,,,,,,,,,,,1.5,0.4,,,
,2005,2005,Fall,,C9,3,,,,,LF2,47.60,47.60,1,0.23,206.96,Y,,,20.2,,,9.3,,,16.9,0.8,,,,,,,,,,,,,,,,0.4,8.5,,,
,2005,2005,Fall,,C9,3,,,,,LF3,68.60,68.60,1,0.23,298.26,Y,,,33.6,,,2.2,,,30.4,,,,,,,,,,,,,,,,,2.4,0.4,,,
,2005,2005,Fall,,C9,3,,,,,LF4,55.40,55.40,1,0.23,240.87,Y,,,34.1,,,3.6,,,16.9,,,,,,,,,,,,,,,,,0.8,2.5,,,
,2005,2005,Fall,,C9,3,,,,,LF5,55.40,55.40,1,0.23,240.87,Y,,,33.8,,,2,,,18.7,,,,,,,,,,,,,,,,,0.9,,,,
1,2009,2009,Fall,BEF,C1,1,P,0,1,0,1,56.50,56.40,1,0.23,245.65,Y,4.93,1.3,0,0,0,1.3,15.51,0.56,16.53,0,0,0,0,0,13.37,0,0.5,0,0,0,0,2.4,0,0.1,NA,,,,,
2,2009,2009,Fall,BEF,C1,1,P,0,1,0,2,46.60,46.60,1,0.23,202.61,Y,2.1,2.3,0,0,0,0.9,5.5,0,25.8,0,0,0,0,0,5.9,0,0,0,0,0,0,4.1,0,0,NA,,,,,
3,2009,2009,Fall,BEF,C1,1,P,0,1,0,3,73.40,73.30,1,0.23,319.13,Y,3,8.53,3.3,0,0,2.8,20.25,0.15,17.5,11.46,0,0,0,0,3.97,0,0,0,0,0,0,2.34,0,0.1,NA,,,,,
